entity,type,description,embedding
Indoor,Environment,Structured indoor environments,"[0.17168854176998138, -0.2016550749540329, 0.27568966150283813, 0.054197706282138824, 0.02367032691836357, -0.2386011779308319, -0.0023622766602784395, -0.023616354912519455, -0.07335510104894638, -0.03981686383485794, 0.2640966475009918, 0.0008856261847540736, -0.10999264568090439, 0.0002447376027703285, 0.02753341943025589, 0.14147132635116577, 0.06359685212373734, 0.029549414291977882, 0.013722455129027367, 0.08398040384054184, 0.09158271551132202, 0.28821471333503723, 0.0874752476811409, -0.11872632056474686, 0.04463472589850426, 0.14460471272468567, -0.16471940279006958, -0.06177672743797302, -0.1400880068540573, 0.16343531012535095, -0.07942036539316177, 0.08937051147222519, 0.03940017521381378, 0.30223700404167175, -0.06354217231273651, -0.1407301276922226, 0.26338812708854675, 0.1174321100115776, 0.06798335909843445, -0.09794995933771133, -0.3118952512741089, 0.06810680031776428, 0.06138084828853607, -0.03011925518512726, 0.07568110525608063, -0.18108496069908142, -0.17618374526500702, -0.15466013550758362, 0.029944686219096184, 0.11754684895277023, 0.1055278405547142, -0.05880463868379593, 0.17811432480812073, -0.022990360856056213, -0.06783556938171387, 0.12892742455005646, 0.24267999827861786, -0.032230257987976074, -0.01603204943239689, 0.04757712036371231, 0.19691859185695648, -0.24245502054691315, -0.20886115729808807, -0.19167499244213104, 0.07271449267864227, -0.06868206709623337, -0.016561061143875122, 0.007189528085291386, -0.03255049139261246, 0.031026527285575867, 0.06188429147005081, -0.0436350554227829, -0.08807283639907837, -0.11165741831064224, -0.08496025204658508, -0.11837119609117508, -0.1308434009552002, 0.037779681384563446, -0.11791247874498367, 0.1965595781803131, 0.025308795273303986, -0.09503068029880524, 0.025780459865927696, 0.3832005262374878, 0.026437461376190186, -0.0017300465842708945, 0.18008406460285187, -0.1264125555753708, 0.02393791824579239, 0.29556816816329956, -0.0784512311220169, -0.1880258321762085, -0.012998469173908234, -0.13131411373615265, 0.2117500603199005, -0.05248799920082092, -0.061910197138786316, -0.0803564041852951, -0.08052811771631241, -0.17270280420780182, -0.03449859842658043, -0.15399426221847534, 0.025731340050697327, 0.013980300165712833, -0.0788869559764862, -0.016192903742194176, -0.038615986704826355, 0.0161609910428524, 0.05655480548739433, -0.14350637793540955, 0.16902561485767365, -0.012451987713575363, 0.06967230886220932, 0.006330976728349924, -0.06286826729774475, -0.02963615208864212, -0.14081910252571106, 0.08100070804357529, 0.03147239610552788, 0.029761942103505135, -0.07326604425907135, -0.04374082013964653, 0.13400763273239136, 0.05300062522292137, -0.18554861843585968, -0.07456018030643463, -0.18675212562084198, 0.02952871285378933]"
Outdoor,Environment,Unstructured outdoor environments,"[-0.16867442429065704, -0.050741229206323624, 0.004041300620883703, -0.11903706938028336, -0.10861072689294815, 0.022177420556545258, -0.043470628559589386, 0.1314868927001953, 0.10192583501338959, -0.12343551218509674, 0.17700223624706268, -0.07247024774551392, -0.14207671582698822, 0.051926471292972565, -0.09659288078546524, 0.0443161278963089, 0.19512951374053955, 0.06112099438905716, -0.17353254556655884, -0.04557107016444206, 0.125595822930336, 0.07967287302017212, 0.08572204411029816, -0.1363731324672699, -0.09806571900844574, -0.13105960190296173, -0.15535208582878113, 0.05767754837870598, -0.02710609696805477, -0.11341717094182968, -0.04586966335773468, -0.07771991938352585, 0.04559696838259697, 0.06818182021379471, -0.11711368709802628, 0.19072505831718445, 0.28043636679649353, 0.04412870481610298, 0.2030775249004364, -0.11799520254135132, 0.18338266015052795, 0.09689886122941971, -0.06362583488225937, -0.3151722848415375, 0.09062304347753525, 0.031024441123008728, -0.038408759981393814, -0.19115327298641205, -0.212737038731575, 0.020893070846796036, 0.11222312599420547, -0.033811770379543304, 0.11214600503444672, 0.3443804383277893, 0.17753340303897858, -0.0961378812789917, 0.14050553739070892, -0.05145701766014099, -0.07769527286291122, 0.13401131331920624, 0.018507957458496094, -0.04175330325961113, 0.06690429151058197, -0.12586364150047302, -0.060628365725278854, 0.1198214665055275, -0.090612031519413, 0.060698091983795166, -0.21119827032089233, -0.0684293657541275, 0.1235920786857605, 0.054238490760326385, -0.062075793743133545, 0.06986314058303833, 0.026305021718144417, -0.17671339213848114, 0.011107663623988628, -0.06003354862332344, -0.09359350800514221, 0.19158364832401276, -0.05131459981203079, -0.11069103330373764, 0.029110897332429886, 0.07091275602579117, 0.29827266931533813, 0.05954916030168533, 0.11128690093755722, -0.067496158182621, 0.07865436375141144, 0.0974050834774971, -0.1925765424966812, -0.06896964460611343, -0.016709648072719574, -0.007225357461720705, 0.16101743280887604, 0.042296309024095535, -0.10509131103754044, -0.015005026943981647, -0.2714173197746277, -0.05325576663017273, -0.19996142387390137, -0.03535367175936699, 0.16481120884418488, 0.07272336632013321, 0.15303057432174683, -0.3924674391746521, 0.029624372720718384, 0.027487562969326973, -0.07478570193052292, -0.17906291782855988, -0.10237463563680649, 0.0578673779964447, 0.07681100815534592, 0.20491953194141388, 0.004512497689574957, -0.05107833445072174, 0.11685671657323837, 0.17229464650154114, 0.0137280048802495, -0.03959844261407852, -0.05873029679059982, -0.1693909913301468, 0.02941230870783329, -0.07773200422525406, 0.0835471898317337, -0.08470290154218674, 0.12460663169622421, 0.07553158700466156]"
Urban,Environment,Urban environments with buildings,"[0.01781250722706318, -0.24529576301574707, 0.1855332851409912, 0.09598314017057419, -0.0019801887683570385, 0.031601160764694214, -0.20167839527130127, -0.008906503207981586, -0.10210403800010681, 0.01581292413175106, 0.05512448027729988, -0.1064106673002243, 0.01841730624437332, -0.09585803747177124, 0.08946619927883148, -0.06834225356578827, 0.16675511002540588, 0.15489092469215393, 0.03786895424127579, 0.16105753183364868, -0.07252328097820282, 0.10759806632995605, 0.24271078407764435, -0.1945297122001648, 0.015384474769234657, 0.04464515671133995, -0.03877344727516174, -0.0037642684765160084, -0.1159437745809555, -0.057480115443468094, -0.17892085015773773, -0.04372043535113335, -0.059263844043016434, 0.12013503909111023, -0.01768353581428528, -0.249348983168602, 0.13274413347244263, -0.05340321734547615, 0.04352075234055519, -0.00722525455057621, -0.20010468363761902, -0.15237508714199066, 0.07056579738855362, -0.09000873565673828, 0.12834714353084564, -0.1466047614812851, -0.10084657371044159, -0.053420037031173706, 0.17909842729568481, 0.16200228035449982, 0.13857609033584595, -0.05391024798154831, 0.19083333015441895, 0.12220728397369385, 0.0612151101231575, 0.11176851391792297, 0.16268953680992126, -0.0166196059435606, -0.18765224516391754, 0.09302513301372528, 0.053232692182064056, -0.18169525265693665, -0.051025353372097015, -0.1790575236082077, 0.0863332599401474, -0.0654999241232872, 0.03613020479679108, 0.13560695946216583, -0.0961078330874443, -0.08894946426153183, 0.17269980907440186, -0.11390502750873566, -0.04900238290429115, -0.056297529488801956, 0.01857433095574379, -0.13654957711696625, -0.07436907291412354, -0.15836909413337708, -0.1234537735581398, 0.3231022357940674, -0.07945698499679565, 0.02461237832903862, 0.046034615486860275, 0.18830329179763794, -0.027907636016607285, 0.004247230477631092, 0.26875701546669006, 0.047097098082304, 0.0914083868265152, 0.2227633148431778, -0.07628787308931351, -0.1258745640516281, 0.07599540054798126, -0.06298432499170303, 0.20586493611335754, 0.12511113286018372, -0.149295836687088, 0.020299799740314484, -0.0047200885601341724, -0.1642368733882904, -0.020617898553609848, -0.1829925924539566, -0.03672625496983528, -0.00024375389330089092, -0.14723406732082367, 0.014060109853744507, -0.07946638762950897, 0.13037730753421783, -0.00985236931592226, -0.07751169800758362, 0.012554016895592213, -0.02596747875213623, 0.17902813851833344, 0.18912121653556824, -0.282359778881073, 0.026195330545306206, -0.06918027997016907, 0.18789012730121613, 0.037878070026636124, 0.017172640189528465, -0.10003993660211563, -0.007608402986079454, 0.13687902688980103, -0.0607559010386467, -0.027187246829271317, 0.06023876368999481, 0.07196026295423508, 0.0587996244430542]"
Dynamic,Environment,Dynamic environments with moving obstacles,"[-0.05402519553899765, -0.16946861147880554, 0.24686919152736664, -0.0752575471997261, 0.01852802373468876, -0.08536890149116516, -0.20238403975963593, 0.3825855553150177, -0.021158451214432716, -0.1137077733874321, 0.09798000007867813, -0.11183827370405197, -0.06537257879972458, 0.03435847908258438, 0.04485108703374863, -0.03919440880417824, 0.22890952229499817, 0.18410126864910126, 0.003373516723513603, -0.03874533623456955, 0.2666904032230377, 0.02301150932908058, 0.06913328170776367, -0.20001882314682007, 0.07206372171640396, 0.03538256138563156, -0.10538911074399948, 0.1085793673992157, 0.0758824348449707, 0.06276631355285645, -0.16559846699237823, -0.0864662230014801, -0.12183408439159393, -0.0520738922059536, -0.038643978536129, -0.08707740902900696, 0.16201649606227875, -0.17770980298519135, 0.17900103330612183, -0.07237756252288818, 0.05630010738968849, -0.11057019978761673, 0.07814999669790268, -0.14878374338150024, -0.033223915845155716, -0.13269850611686707, -0.14736269414424896, -0.21563555300235748, -0.16929759085178375, 0.019834494218230247, 0.06427471339702606, 0.10651379823684692, 0.17562814056873322, 0.1965426206588745, 0.05938367918133736, -0.1577577292919159, 0.1865861713886261, -0.03455791622400284, -0.1040177047252655, 0.09614857286214828, -0.10359615087509155, -0.044259749352931976, 0.12086094915866852, -0.12247951328754425, 0.014599636197090149, -0.01986027881503105, -0.1192108541727066, 0.20651666820049286, 0.12367668002843857, -0.05335807427763939, 0.030427269637584686, 0.13731645047664642, -0.2780413329601288, -0.06349314749240875, -0.1148354560136795, -0.39180153608322144, -0.023054784163832664, 0.15738728642463684, -0.062771275639534, 0.06247437372803688, -0.18666066229343414, 0.06967394053936005, 0.22134006023406982, 0.03760182484984398, 0.3112287223339081, 0.07356652617454529, 0.1627226322889328, -0.048327524214982986, -0.07222849130630493, 0.15262030065059662, -0.015262046828866005, -0.11934495717287064, -0.18622802197933197, 0.13892599940299988, 0.13008184731006622, 0.02749311551451683, -0.00843064859509468, -0.1938827931880951, 0.035143155604600906, -0.11465361714363098, -0.08165358752012253, 0.023053118959069252, -0.11291397362947464, 0.033948276191949844, 0.11833257973194122, -0.09000010043382645, -0.16796007752418518, -0.08611559122800827, -0.07858774065971375, -0.11641573160886765, -0.015199005603790283, 0.05516296625137329, -0.10683842748403549, 0.3543602526187897, 0.0034179980866611004, 0.07911114394664764, 0.11389029771089554, -0.01830158196389675, 0.18175867199897766, -0.10518880188465118, -0.16914455592632294, -0.24593982100486755, 0.1005675196647644, -0.1848789006471634, 0.09902138262987137, -0.03982054442167282, -0.09053442627191544, 0.2879694700241089]"
Cluttered,Environment,Cluttered environments with obstacles,"[-0.06215868145227432, -0.13241727650165558, 0.12606677412986755, -0.07613320648670197, 0.03305576369166374, 0.00524982251226902, -0.18378299474716187, -0.00960920937359333, -0.015511291101574898, -0.04935579374432564, -0.01431850902736187, -0.23612213134765625, -0.12244158238172531, -0.14873109757900238, 0.28932151198387146, -0.09510040283203125, -0.027314890176057816, 0.03897026553750038, -0.023594370111823082, 0.1189918965101242, 0.009312912821769714, 0.09325333684682846, 0.09535200893878937, -0.00197535939514637, -0.1343076378107071, -0.03134971484541893, -0.0690952017903328, 0.11725950986146927, 0.026798056438565254, -0.12817177176475525, -0.3537810146808624, -0.012598822824656963, -0.006357201840728521, -0.10882195085287094, -0.12134673446416855, -0.07450803369283676, -0.033821333199739456, 0.08722616732120514, 0.0898643210530281, -0.09008074551820755, 0.031006664037704468, -0.04853420332074165, -0.14166602492332458, -0.16791486740112305, 0.0958680659532547, 0.13579247891902924, 0.20389635860919952, -0.10647863894701004, 0.04352026432752609, 0.3307250738143921, 0.010806256905198097, 0.010833519510924816, 0.0671553760766983, 0.04591696336865425, 0.07377508282661438, 0.080790676176548, 0.07499532401561737, 0.03681686520576477, -0.17440928518772125, 0.08839043974876404, 0.10821831226348877, 0.00623733876273036, 0.18125121295452118, -0.22869375348091125, 0.14311081171035767, 0.10677799582481384, 0.10841242969036102, -0.013669275678694248, -0.018713977187871933, -0.24036557972431183, 0.12755119800567627, -0.07250811904668808, -0.0981704443693161, -0.1373453587293625, -0.052676938474178314, -0.036174315959215164, -0.07385824620723724, -0.0646446943283081, -0.2828615605831146, 0.30270907282829285, -0.03997741639614105, 0.13802161812782288, 0.024762973189353943, -0.06100800260901451, -0.015502317808568478, -0.07938148081302643, 0.192315474152565, -0.02396402880549431, 0.1452733725309372, 0.05662331357598305, -0.25204047560691833, -0.22084157168865204, 0.011603892780840397, -0.04131021350622177, -0.02320435829460621, 0.16634562611579895, -0.1909463107585907, -0.020764688029885292, -0.06348107755184174, -0.20828275382518768, -0.06639887392520905, -0.04556815326213837, 0.06601212173700333, 0.040063679218292236, -0.012384184636175632, -0.07562925666570663, 0.018302764743566513, 0.05196230113506317, 0.060888826847076416, -0.05943447723984718, -0.19382688403129578, 0.005802662577480078, 0.25229477882385254, 0.07211536914110184, -0.36300423741340637, -0.019372785463929176, -0.1596469134092331, 0.09989451617002487, 0.0979490578174591, 0.23467577993869781, -0.17413896322250366, -0.11848936229944229, -0.10796374082565308, 0.05140204727649689, 0.09388338029384613, 0.10935503244400024, -0.019166430458426476, 0.11396455019712448]"
Unknown,Environment,Unknown environments with no prior map,"[-0.21734972298145294, -0.21994397044181824, 0.1370401829481125, -0.07029415667057037, -0.07079999893903732, -0.25780537724494934, -0.013478999026119709, -0.22280724346637726, -0.15664830803871155, 0.14717136323451996, 0.22069300711154938, -0.0321606881916523, -0.20912985503673553, -0.007158881053328514, -0.036734454333782196, 0.3054560720920563, 0.10352321714162827, 0.12742263078689575, -0.32381752133369446, -0.008075478486716747, -0.13309237360954285, 0.14897793531417847, 0.0409579873085022, -0.15674717724323273, -0.09284049272537231, -0.16318629682064056, -0.139906108379364, -0.08031671494245529, 0.002946234541013837, -0.29353106021881104, 0.049980755895376205, 0.06790074706077576, -0.0016613247571513057, 0.15887270867824554, -0.12725992500782013, 0.3262921869754791, 0.2150297462940216, 0.04000116512179375, 0.15461206436157227, -0.09680646657943726, 0.1710646003484726, -0.015145861543715, -0.05534777045249939, -0.32473626732826233, -0.005275934934616089, 0.11291579157114029, -0.0608329214155674, -0.17011195421218872, -0.1206040009856224, -0.06348058581352234, 0.060034818947315216, -0.006990023422986269, 0.3288910388946533, 0.09277283400297165, 0.22106367349624634, 0.1791076511144638, 0.170165553689003, 0.11695999652147293, 0.07485084235668182, 0.15840189158916473, 0.08777708560228348, 0.05710391327738762, 0.08307594060897827, -0.05612923204898834, -0.14615637063980103, 0.188894122838974, 0.15863852202892303, -0.030337434262037277, -0.0838332325220108, 0.04425111413002014, 0.18793125450611115, 0.17854534089565277, 0.043792545795440674, 0.03574477136135101, 0.1883523315191269, -0.12951290607452393, -0.14546965062618256, 0.014266119338572025, 0.14277659356594086, 0.1909770667552948, 0.11069269478321075, -0.15358586609363556, -0.05783509463071823, 0.3934386670589447, 0.11932578682899475, 0.13966692984104156, 0.14108620584011078, 0.08321202546358109, -0.03132294863462448, 0.23515044152736664, 0.1469089239835739, 0.055585093796253204, 0.3179418444633484, -0.02858799695968628, 0.1415843516588211, -0.014294717460870743, -0.1651323437690735, 0.012430984526872635, -0.1946084052324295, 0.04627673327922821, -0.32182544469833374, 0.08741975575685501, 0.011573504656553268, -0.030346443876624107, 0.3393818736076355, -0.05917988717556, 0.11359908431768417, 0.10698661208152771, 0.0036582574248313904, -0.19403377175331116, 0.03164733573794365, 0.06561293452978134, 0.06612323969602585, -0.1439753919839859, -0.05578060820698738, -0.37224310636520386, 0.2131379097700119, 0.23640801012516022, -0.17504054307937622, 0.00609379168599844, 0.06720057129859924, 0.014944775961339474, -0.09983991831541061, 0.08311533182859421, 0.06243219971656799, 0.032639279961586, 0.08419500291347504, 0.03617854788899422]"
Structured,Environment,Well-structured predictable environments,"[0.12906552851200104, -0.11315775662660599, 0.31516656279563904, 0.025761324912309647, 0.06567533314228058, -0.18598000705242157, 0.03838048130273819, -0.07412967830896378, -0.066758893430233, -0.0748572126030922, -0.0034945609513670206, -0.04338544234633446, -0.20737245678901672, -0.10469600558280945, 0.3116384446620941, 0.11787468194961548, 0.14516720175743103, -0.10457920283079147, 0.13347093760967255, -0.07665267586708069, 0.24238194525241852, 0.2908819615840912, -0.11124246567487717, 0.0690038800239563, -0.02729588747024536, -0.0015833901707082987, -0.09337600320577621, 0.02687811478972435, -0.035283055156469345, -0.0672745332121849, -0.0017891890602186322, 0.066580630838871, 0.013085518963634968, 0.08212868124246597, -0.05562485381960869, 0.030738141387701035, 0.39364027976989746, 0.16292926669120789, 0.21906214952468872, -0.1273627132177353, -0.018434876576066017, 0.20029684901237488, 0.08234996348619461, 0.12299537658691406, -0.1501522809267044, 0.10594040900468826, -0.011250154115259647, 0.004292796831578016, -0.05739271640777588, 0.04332447052001953, 0.1980467438697815, 0.18201594054698944, 0.11102665960788727, -0.059176743030548096, -0.02779034711420536, -0.007604894228279591, 0.2146224081516266, 0.0562465526163578, 0.009694884531199932, 0.04571206122636795, 0.05162200331687927, -0.17196068167686462, -0.020461855456233025, 0.039707574993371964, 0.18379200994968414, 0.0004923930391669273, -0.06709575653076172, -0.07462842762470245, 0.023146038874983788, 0.019118817523121834, 0.017058027908205986, -0.04021483659744263, -0.2753787338733673, -0.10248266160488129, -0.11742103099822998, 0.04573139548301697, -0.17233487963676453, 0.005912299733608961, -0.08797749876976013, 0.11910513788461685, 0.11823496967554092, -0.010029441677033901, 0.019676238298416138, 0.207407608628273, -0.06057227402925491, 0.07682859152555466, 0.22812281548976898, -0.12211424112319946, -0.15741118788719177, 0.22399893403053284, -0.19759957492351532, -0.12779061496257782, 0.11630576848983765, -0.18346159160137177, 0.059376366436481476, -0.11126506328582764, -0.026487009599804878, -0.16750067472457886, -0.12750744819641113, -0.204810231924057, -7.58948372094892e-05, 0.11465287208557129, 0.05806563422083855, 0.044905610382556915, 0.17135687172412872, -0.10323501378297806, 0.04544738680124283, -0.11022549867630005, 0.2320060133934021, -0.08445052057504654, 0.1166062131524086, 0.024750301614403725, 0.03207702562212944, -0.07429207116365433, -0.12871593236923218, -0.13450057804584503, -0.055623944848775864, 0.10725866258144379, 0.11552509665489197, 0.009765437804162502, -0.012803024612367153, -0.1803516149520874, 0.09625139087438583, 0.048106174916028976, -0.13934659957885742, -0.04603617265820503, -0.23974257707595825, 0.030324023216962814]"
Unstructured,Environment,Unpredictable natural environments,"[-0.23570992052555084, 0.05076994746923447, 0.05010630562901497, 0.15232734382152557, -0.03139793872833252, 0.14526207745075226, -0.027813242748379707, -0.002908021444454789, -0.20063567161560059, 0.09740638732910156, 0.1810062825679779, 0.010300922207534313, -0.03204993158578873, -0.13005331158638, 0.12487725913524628, 0.2586440443992615, -0.075407475233078, -0.0794047936797142, -0.0667707696557045, -0.06782528012990952, -0.18043671548366547, 0.28174489736557007, 0.01874195970594883, -0.24077634513378143, -0.29612651467323303, -0.04989171400666237, -0.11253812164068222, 0.0568961575627327, -0.23385336995124817, -0.14962983131408691, 0.04653245210647583, -0.2734312415122986, -0.03786887973546982, 0.171721413731575, -0.13865983486175537, -0.006800012197345495, 0.26875412464141846, 0.1917128711938858, 0.11124332249164581, 0.020419912412762642, -0.07816515862941742, -0.11476705223321915, 0.2108088582754135, -0.06293852627277374, 0.2217307984828949, 0.1487860381603241, 0.1941303014755249, -0.04250386357307434, -0.2907668948173523, 0.08364257216453552, 0.03138525038957596, -0.026875918731093407, 0.262645959854126, -0.1356898993253708, 0.13368535041809082, 0.12030304968357086, 0.25434938073158264, -0.08275562524795532, -0.045935265719890594, 0.07778610289096832, -0.03127450868487358, 0.047553423792123795, 0.07311917096376419, -0.0677785575389862, 0.07014264166355133, 0.15952590107917786, 0.0037728252355009317, -0.048954807221889496, -0.164969339966774, -0.4220595359802246, 0.21415969729423523, -0.0886358991265297, -0.199575275182724, -0.19465458393096924, -0.178434818983078, -0.27535438537597656, -0.060744769871234894, 0.018050653859972954, 0.0645977109670639, 0.11184284836053848, 0.19306927919387817, 0.20674023032188416, 0.1617971807718277, 0.4311883747577667, -0.11308734863996506, 0.20394611358642578, 0.12218932807445526, -0.022643717005848885, 0.1237543448805809, -0.1526632159948349, 0.020260484889149666, 0.0020941675174981356, -0.03080575354397297, 0.20486336946487427, 0.06134837493300438, 0.0651194155216217, -0.07091768831014633, -0.10910219699144363, -0.08635253459215164, -0.11612673103809357, -0.1296217143535614, 0.034802768379449844, -0.13065968453884125, -0.09385593980550766, 0.08537443727254868, -0.05761181190609932, 0.10176446288824081, 0.25111860036849976, -0.05452191084623337, -0.25866955518722534, 0.25111624598503113, 0.021190542727708817, 0.1261606067419052, -0.04168034717440605, 0.1749742031097412, -0.3556584417819977, 0.03947271406650543, 0.08505171537399292, -0.16679581999778748, -0.269543319940567, -0.08760281652212143, -0.10677114129066467, -0.047756969928741455, 0.03137342259287834, 0.024446917697787285, 0.11812702566385269, -0.10605558753013611, 0.16092541813850403]"
Aerial,Environment,Aerial navigation environments,"[-0.1370600461959839, -0.04773124307394028, -0.08210562914609909, -0.14927977323532104, -0.0824994295835495, -0.0017913526389747858, -0.011532401666045189, 0.07507038861513138, 0.045000236481428146, -0.12359365075826645, 0.36807459592819214, -0.071282759308815, -0.1105477511882782, -0.08633093535900116, -0.004716981202363968, -0.08892393112182617, 0.15463197231292725, -0.09935120493173599, -0.07027280330657959, 0.13792940974235535, 0.006638610269874334, 0.03609635680913925, 0.13285230100154877, 0.047412723302841187, -0.2561185956001282, 0.038586605340242386, -0.0752749964594841, -0.006246577017009258, -0.14800819754600525, -0.13238465785980225, -0.21044225990772247, 0.006873674690723419, 0.03056919015944004, 0.11638770252466202, -0.004943687468767166, 0.3567407727241516, 0.24555179476737976, 0.18788988888263702, 0.17397120594978333, -0.04643258824944496, 0.09371770918369293, 0.2491200566291809, -0.0005727641982957721, -0.06332921236753464, 0.13416874408721924, 0.0637737587094307, 0.11094100028276443, -0.05548534169793129, -0.01106076966971159, 0.07122990489006042, 0.05423257499933243, -0.03308940678834915, 0.09383372217416763, 0.21551662683486938, 0.12774063646793365, -0.1879773736000061, -0.035979125648736954, -0.08722468465566635, 0.12268133461475372, 0.19505047798156738, 0.029740730300545692, -0.16411235928535461, 0.015012960880994797, -0.04358595237135887, 0.16895581781864166, 0.17054635286331177, -0.17876434326171875, -0.025290407240390778, -0.06294500082731247, -0.14013010263442993, 0.011526087298989296, -0.30195072293281555, -0.05231217294931412, -0.09449205547571182, 0.05692710354924202, -0.13865244388580322, 0.24585606157779694, -0.1288660615682602, -0.17266617715358734, 0.3570527136325836, 0.022211894392967224, -0.19848720729351044, 0.03686923533678055, 0.09098488092422485, 0.13667415082454681, -0.11064645648002625, 0.015788424760103226, -0.12439513206481934, 0.1084948182106018, -0.17354968190193176, -0.21811382472515106, -0.08170867711305618, 0.01688690483570099, 0.053312648087739944, 0.1837732195854187, 0.01062865275889635, -0.26246848702430725, -0.051198601722717285, -0.019661111757159233, -0.15729855000972748, -0.3260157108306885, -0.09816746413707733, 0.05827721953392029, 0.19026365876197815, -0.10625916719436646, -0.28601905703544617, 0.02246895805001259, 0.03791818395256996, -0.06206619739532471, -0.33075910806655884, -0.2325720489025116, -0.05412944406270981, 0.20497334003448486, 0.19146578013896942, -0.10875497758388519, -0.13646072149276733, 0.14885316789150238, 0.1337849497795105, -0.07025837898254395, 0.036325886845588684, -0.11909008026123047, -0.12219642847776413, -0.02459822967648506, 0.0390751026570797, -0.1440354287624359, -0.014594441279768944, 0.2754691541194916, 0.05930224061012268]"
Underwater,Environment,Underwater navigation environments,"[0.04061025381088257, 0.015849484130740166, 0.15618187189102173, -0.20314736664295197, 0.023127201944589615, -0.17466206848621368, -0.22443833947181702, -0.045396942645311356, 0.08465111255645752, -0.19757752120494843, 0.10468149185180664, -0.13153573870658875, -0.14645414054393768, -0.13392654061317444, 0.13839562237262726, 0.044702909886837006, -0.22496451437473297, 0.03533755615353584, -0.059189438819885254, 0.047195687890052795, 0.09722550213336945, 0.14220517873764038, 0.056707192212343216, 0.031923066824674606, -0.1283808797597885, -0.07979035377502441, -0.07615555077791214, 0.2591353952884674, 0.046304475516080856, 0.0031601134687662125, -0.24118800461292267, 0.025403320789337158, 0.027056371793150902, 0.0015082634054124355, -0.15682360529899597, 0.09974447637796402, -0.05591070279479027, 0.1635267436504364, 0.14915820956230164, -0.12579086422920227, 0.10007575154304504, -0.023239122703671455, -0.24690864980220795, -0.19046436250209808, 0.08169926702976227, 0.12988725304603577, 0.3053087890148163, -0.32578399777412415, -0.19791904091835022, 0.27391743659973145, -0.13432343304157257, -0.06927124410867691, -0.06669320166110992, -0.1049310564994812, 0.040946900844573975, 0.0339101180434227, 0.04487943649291992, -0.04343472793698311, -0.12589366734027863, -0.06716668605804443, 0.2085167020559311, 0.055217914283275604, 0.14308708906173706, -0.2863300144672394, 0.020385872572660446, 0.21889494359493256, 0.045927003026008606, -0.07942376285791397, 0.14013461768627167, -0.3164568841457367, 0.18340177834033966, -0.07360013574361801, -0.2146778106689453, -0.1525631546974182, -0.07677303999662399, -0.011624045670032501, 0.07485358417034149, 0.10649904608726501, -0.16935424506664276, 0.22261683642864227, 0.08888949453830719, 0.1110997423529625, 0.030862612649798393, -0.1471230685710907, 0.09585275501012802, -0.1283014863729477, 0.015245070680975914, -0.18544068932533264, 0.16488683223724365, 0.0649617537856102, -0.3234193027019501, -0.2018938958644867, 0.02683214657008648, -0.060123931616544724, 0.12923510372638702, 0.011090896092355251, -0.18994362652301788, -0.09221065789461136, -0.02709255740046501, -0.19316531717777252, -0.14925336837768555, 0.016247540712356567, 0.00463318545371294, -0.033262498676776886, -0.022141754627227783, -0.1287030130624771, 0.03868058696389198, -0.16452693939208984, 0.049648165702819824, -0.007442936766892672, -0.3184032142162323, 0.005824723746627569, 0.23079802095890045, 0.008809957653284073, -0.3414357900619507, -0.07384013384580612, -0.17004148662090302, 0.05819578841328621, 0.018503637984395027, 0.1440320611000061, -0.15097591280937195, -0.1080121397972107, -0.1976352334022522, 0.22112822532653809, -0.01874186284840107, -0.022477073594927788, -0.25535446405410767, 0.19935736060142517]"
